"table_schema","table_name","column_name","data_type","is_nullable","column_default"
"auth","identities","id","uuid","NO","gen_random_uuid()"
"extensions","pg_stat_statements_info","stats_reset","timestamp with time zone","YES",""
"extensions","pg_stat_statements","userid","oid","YES",""
"extensions","pg_stat_statements","dbid","oid","YES",""
"extensions","pg_stat_statements","toplevel","boolean","YES",""
"extensions","pg_stat_statements","queryid","bigint","YES",""
"storage","buckets","file_size_limit","bigint","YES",""
"storage","migrations","id","integer","NO",""
"storage","migrations","executed_at","timestamp without time zone","YES","CURRENT_TIMESTAMP"
"pgsodium","mask_columns","attrelid","oid","YES",""
"pgsodium","valid_key","id","uuid","YES",""
"pgsodium","valid_key","status","USER-DEFINED","YES",""
"pgsodium","valid_key","key_type","USER-DEFINED","YES",""
"pgsodium","valid_key","key_id","bigint","YES",""
"pgsodium","valid_key","key_context","bytea","YES",""
"pgsodium","valid_key","created","timestamp with time zone","YES",""
"pgsodium","valid_key","expires","timestamp with time zone","YES",""
"pgsodium","decrypted_key","id","uuid","YES",""
"pgsodium","decrypted_key","status","USER-DEFINED","YES",""
"pgsodium","decrypted_key","created","timestamp with time zone","YES",""
"pgsodium","decrypted_key","expires","timestamp with time zone","YES",""
"pgsodium","decrypted_key","key_type","USER-DEFINED","YES",""
"pgsodium","decrypted_key","key_id","bigint","YES",""
"pgsodium","decrypted_key","key_context","bytea","YES",""
"pgsodium","decrypted_key","raw_key","bytea","YES",""
"pgsodium","decrypted_key","decrypted_raw_key","bytea","YES",""
"pgsodium","decrypted_key","raw_key_nonce","bytea","YES",""
"pgsodium","decrypted_key","parent_key","uuid","YES",""
"pgsodium","key","id","uuid","NO","gen_random_uuid()"
"pgsodium","key","status","USER-DEFINED","YES","'valid'::pgsodium.key_status"
"pgsodium","key","created","timestamp with time zone","NO","CURRENT_TIMESTAMP"
"pgsodium","key","expires","timestamp with time zone","YES",""
"pgsodium","key","key_type","USER-DEFINED","YES",""
"pgsodium","key","key_id","bigint","YES","nextval('pgsodium.key_key_id_seq'::regclass)"
"pgsodium","key","key_context","bytea","YES","'\x7067736f6469756d'::bytea"
"pgsodium","key","raw_key","bytea","YES",""
"pgsodium","key","raw_key_nonce","bytea","YES",""
"pgsodium","key","parent_key","uuid","YES",""
"pgsodium","masking_rule","attrelid","oid","YES",""
"pgsodium","masking_rule","attnum","integer","YES",""
"pgsodium","masking_rule","relnamespace","regnamespace","YES",""
"pgsodium","masking_rule","priority","integer","YES",""
"pgsodium","masking_rule","security_invoker","boolean","YES",""
"vault","secrets","id","uuid","NO","gen_random_uuid()"
"vault","secrets","key_id","uuid","YES","(pgsodium.create_key()).id"
"vault","secrets","nonce","bytea","YES","pgsodium.crypto_aead_det_noncegen()"
"vault","secrets","created_at","timestamp with time zone","NO","CURRENT_TIMESTAMP"
"vault","secrets","updated_at","timestamp with time zone","NO","CURRENT_TIMESTAMP"
"vault","decrypted_secrets","id","uuid","YES",""
"vault","decrypted_secrets","key_id","uuid","YES",""
"vault","decrypted_secrets","nonce","bytea","YES",""
"vault","decrypted_secrets","created_at","timestamp with time zone","YES",""
"vault","decrypted_secrets","updated_at","timestamp with time zone","YES",""
"realtime","subscription","id","bigint","NO",""
"realtime","subscription","subscription_id","uuid","NO",""
"realtime","subscription","entity","regclass","NO",""
"realtime","subscription","filters","ARRAY","NO","'{}'::realtime.user_defined_filter[]"
"realtime","subscription","claims","jsonb","NO",""
"realtime","subscription","claims_role","regrole","NO",""
"realtime","subscription","created_at","timestamp without time zone","NO","timezone('utc'::text, now())"
"realtime","messages","id","bigint","NO","nextval('realtime.messages_id_seq'::regclass)"
"realtime","messages","inserted_at","timestamp without time zone","NO",""
"realtime","messages","updated_at","timestamp without time zone","NO",""
